item,value,date
11250,0.0,2008-01-01
11250,0.0,2008-02-01
11250,0.0,2008-03-01
11250,0.0,2008-04-01
11250,0.0,2008-05-01
11250,0.0,2008-06-01
11250,0.0,2008-07-01
11250,0.0,2008-08-01
11250,0.0,2008-09-01
11250,0.0,2008-10-01
11250,0.0,2008-11-01
11250,0.0,2008-12-01
11401,0.0,2008-01-01
11401,0.0,2008-02-01
11401,0.0,2008-03-01
11401,0.0,2008-04-01
11401,0.0,2008-05-01
11401,0.0,2008-06-01
11401,0.0,2008-07-01
11401,0.0,2008-08-01
11401,0.0,2008-09-01
11401,0.0,2008-10-01
11401,0.0,2008-11-01
11401,0.0,2008-12-01
11402,0.0,2008-01-01
11402,0.0,2008-02-01
11402,0.0,2008-03-01
11402,0.0,2008-04-01
11402,0.0,2008-05-01
11402,0.0,2008-06-01
11402,0.0,2008-07-01
11402,0.0,2008-08-01
11402,0.0,2008-09-01
11402,0.0,2008-10-01
11402,0.0,2008-11-01
11402,0.0,2008-12-01
11403,0.0,2008-01-01
11403,0.0,2008-02-01
11403,0.0,2008-03-01
11403,0.0,2008-04-01
11403,0.0,2008-05-01
11403,0.0,2008-06-01
11403,0.0,2008-07-01
11403,0.0,2008-08-01
11403,0.0,2008-09-01
11403,0.0,2008-10-01
11403,0.0,2008-11-01
11403,0.0,2008-12-01
11404,0.0,2008-01-01
11404,0.0,2008-02-01
11404,0.0,2008-03-01
11404,0.0,2008-04-01
11404,0.0,2008-05-01
11404,0.0,2008-06-01
11404,0.0,2008-07-01
11404,0.0,2008-08-01
11404,0.0,2008-09-01
11404,0.0,2008-10-01
11404,0.0,2008-11-01
11404,0.0,2008-12-01
11410,446.0,2008-01-01
11410,441.0,2008-02-01
11410,301.0,2008-03-01
11410,365.0,2008-04-01
11410,294.0,2008-05-01
11410,264.0,2008-06-01
11410,399.0,2008-07-01
11410,250.0,2008-08-01
11410,277.0,2008-09-01
11410,392.0,2008-10-01
11410,325.0,2008-11-01
11410,438.0,2008-12-01
11435,0.0,2008-01-01
11435,0.0,2008-02-01
11435,0.0,2008-03-01
11435,0.0,2008-04-01
11435,0.0,2008-05-01
11435,0.0,2008-06-01
11435,0.0,2008-07-01
11435,0.0,2008-08-01
11435,0.0,2008-09-01
11435,0.0,2008-10-01
11435,0.0,2008-11-01
11435,0.0,2008-12-01
11436,0.0,2008-01-01
11436,0.0,2008-02-01
11436,0.0,2008-03-01
11436,0.0,2008-04-01
11436,0.0,2008-05-01
11436,0.0,2008-06-01
11436,0.0,2008-07-01
11436,0.0,2008-08-01
11436,0.0,2008-09-01
11436,0.0,2008-10-01
11436,0.0,2008-11-01
11436,0.0,2008-12-01
11439,0.0,2008-01-01
11439,0.0,2008-02-01
11439,0.0,2008-03-01
11439,0.0,2008-04-01
11439,0.0,2008-05-01
11439,0.0,2008-06-01
11439,0.0,2008-07-01
11439,0.0,2008-08-01
11439,0.0,2008-09-01
11439,0.0,2008-10-01
11439,0.0,2008-11-01
11439,0.0,2008-12-01
11444,0.0,2008-01-01
11444,0.0,2008-02-01
11444,0.0,2008-03-01
11444,0.0,2008-04-01
11444,0.0,2008-05-01
11444,0.0,2008-06-01
11444,0.0,2008-07-01
11444,0.0,2008-08-01
11444,0.0,2008-09-01
11444,0.0,2008-10-01
11444,0.0,2008-11-01
11444,0.0,2008-12-01
11445,0.0,2008-01-01
11445,0.0,2008-02-01
11445,0.0,2008-03-01
11445,0.0,2008-04-01
11445,0.0,2008-05-01
11445,0.0,2008-06-01
11445,0.0,2008-07-01
11445,0.0,2008-08-01
11445,0.0,2008-09-01
11445,0.0,2008-10-01
